SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
KENTISBURY PRIMARY SCHOOL-MAIN SCHOOL SITE,,KENTISBURY,BARNSTAPLE,DEVON,EX314NG,Kentisbury CP
KENTISBURY PRIMARY SCHOOL-VILLAGE HALL & CAR PARK,,KENTISBURY,BARNSTAPLE,DEVON,EX314NG,Kentisbury CP
KINGS NYMPTON COMMUNITY PRIMARY SCHOOL,,KINGS NYMPTON,UMBERLEIGH,DEVON,EX379SP,King's Nympton CP
LANGTREE COMMUNITY SCHOOL,,LANGTREE,GREAT TORRINGTON,DEVON,EX388NF,Langtree CP
MARWOOD SCHOOL-MAIN SCHOOL SITE,,"WHIDDON, MUDDIFORD",BARNSTAPLE,DEVON,EX314HF,Marwood CP
MARWOOD SCHOOL-WESTERN PIECE LANE CAR PARK & PLAYING FIELD OPPOSITE,,"WHIDDON, MUDDIFORD",BARNSTAPLE,DEVON,EX314HF,Marwood CP
MONKLEIGH PRIMARY SCHOOL,,MONKLEIGH,BIDEFORD,DEVON,EX395JY,Monkleigh CP
PARKHAM PRIMARY SCHOOL,,PARKHAM,BIDEFORD,DEVON,EX395PL,Parkham CP
ST GILES ON THE HEATH COMMUNITY SCHOOL,,ST GILES ON THE HEATH,LAUNCESTON,CORNWALL,PL159SD,St. Giles on the Heath CP
SHEBBEAR COMMUNITY SCHOOL,,SHEBBEAR,BEAWORTHY,DEVON,EX215SG,Shebbear CP
SHIRWELL COMMUNITY PRIMARY SCHOOL,SCHOOL LANE,SHIRWELL,BARNSTAPLE,DEVON,EX314JT,Shirwell CP
STICKLEPATH COMMUNITY SCHOOL,WOODVILLE ESTATE,,BARNSTAPLE,DEVON,EX312HH,Fremington CP
SUTCOMBE COMMUNITY PRIMARY SCHOOL,,SUTCOMBE,HOLSWORTHY,DEVON,EX227PW,Sutcombe CP
SUTCOMBE COMMUNITY PRIMARY SCHOOL - VILLAGE HALL,,SUTCOMBE,HOLSWORTHY,DEVON,EX227PW,Sutcombe CP
