ITEM_TYPE_NAME,PARISH_NAME
MANHOLE,Barnstaple CP
MANHOLE,Ilfracombe CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Mortehoe CP
MANHOLE,Mortehoe CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Shaldon CP
MANHOLE,Kingskerswell CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Salcombe CP
MANHOLE,Salcombe CP
MANHOLE,Hennock CP
MANHOLE,Hennock CP
MANHOLE,Hennock CP
MANHOLE,Hennock CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,Stokeinteignhead CP
MANHOLE,South Brent CP
MANHOLE,Ogwell CP
MANHOLE,Whitestone CP
MANHOLE,Brixton CP
MANHOLE,Churchstow CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Kenton CP
MANHOLE,Starcross CP
MANHOLE,Starcross CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Shaldon CP
MANHOLE,Bishopsteignton CP
MANHOLE,Bishopsteignton CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Tiverton CP
MANHOLE,Tiverton CP
MANHOLE,Sidmouth CP
MANHOLE,Sidmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Shaldon CP
MANHOLE,Shaldon CP
MANHOLE,Teignmouth CP
MANHOLE,Teignmouth CP
MANHOLE,Newton Abbot CP
MANHOLE,Barnstaple CP
MANHOLE,Ilfracombe CP
MANHOLE,Ilfracombe CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Fremington CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Barnstaple CP
MANHOLE,Mortehoe CP
MANHOLE,Mortehoe CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Northam CP
MANHOLE,Bideford CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Kingskerswell CP
MANHOLE,Newton Abbot CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Totnes CP
MANHOLE,Salcombe CP
MANHOLE,Salcombe CP
MANHOLE,Bovey Tracey CP
MANHOLE,Hennock CP
MANHOLE,Ivybridge CP
MANHOLE,Ivybridge CP
MANHOLE,Broadhempston CP
MANHOLE,Broadhempston CP
MANHOLE,South Brent CP
MANHOLE,South Brent CP
MANHOLE,Newton Abbot CP
MANHOLE,Ogwell CP
MANHOLE,Bovey Tracey CP
MANHOLE,Bovey Tracey CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Kenton CP
MANHOLE,Kenton CP
MANHOLE,Belstone CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,Sourton CP
MANHOLE,Sourton CP
MANHOLE,Okehampton Hamlets CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,South Tawton CP
MANHOLE,Tiverton CP
MANHOLE,Tiverton CP
MANHOLE,Loxbeare CP
MANHOLE,Stoodleigh CP
MANHOLE,Stoodleigh CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Rackenford CP
MANHOLE,Knowstone CP
MANHOLE,Knowstone CP
MANHOLE,Bishop's Nympton CP
MANHOLE,Chudleigh CP
MANHOLE,Ideford CP
MANHOLE,Ideford CP
MANHOLE,Ideford CP
MANHOLE,Kingsteignton CP
MANHOLE,Kingsteignton CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Chudleigh CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Alwington CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Bishop's Tawton CP
MANHOLE,Ilfracombe CP
MANHOLE,Northam CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Northam CP
MANHOLE,Barnstaple CP
MANHOLE,Holsworthy CP
MANHOLE,Landkey CP
MANHOLE,Abbotsham CP
MANHOLE,Abbotsham CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Bideford CP
MANHOLE,Alwington CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Dartmouth CP
MANHOLE,Abbotskerswell CP
MANHOLE,Kenton CP
MANHOLE,Kenton CP
MANHOLE,Kenton CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Dawlish CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
MANHOLE,Newton Abbot CP
